Designator,Mid X,Mid Y,Rotation,Layer
C1,20.8,23.4,0.0,top
C10,26.975,29.0,0.0,top
C11,26.5,19.48,90.0,top
C12,30.0,28.5,90.0,top
C13,39.25,17.5,180.0,top
C14,36.236316,16.120771,270.0,top
C15,35.236316,16.100771,270.0,top
C16,39.75,24.5,270.0,top
C17,39.5,30.0,0.0,top
C18,39.5,31.0,0.0,top
C19,39.5,32.25,0.0,top
C2,27.0,26.75,180.0,top
C20,17.23,15.25,180.0,top
C21,36.5,34.0,0.0,top
C22,37.5,37.0,270.0,top
C23,35.0,37.0,90.0,top
C24,38.0,33.98,270.0,top
C25,33.0,29.75,270.0,top
C26,32.5,37.0,90.0,top
C27,30.0,37.0,90.0,top
C28,39.5,34.5,270.0,top
C3,8.02,34.25,0.0,top
C4,28.45,13.415,90.0,top
C5,33.5,10.0,180.0,top
C6,28.0,17.5,180.0,top
C7,23.475,30.0,270.0,top
C8,38.75,24.52,270.0,top
C9,26.974999,31.346071,0.0,top
D1,22.0,9.25,0.0,top
D10,18.0,32.0,180.0,top
D11,13.0,36.9375,270.0,top
D2,31.5,33.5,0.0,top
D3,10.0,23.0,270.0,top
D4,10.0,26.5,90.0,top
D5,10.0,25.0,0.0,top
D6,5.925,20.5,0.0,top
D7,6.96,29.5,0.0,top
D9,20.925,32.0,0.0,top
FB1,38.5,16.0,0.0,top
FB2,39.0,27.25,270.0,top
J2,22.0,36.525,0.0,top
J3,11.75,16.27,0.0,top
M1,31.75,35.0,270.0,bottom
R1,22.0,7.785,0.0,top
R10,37.0,28.5,0.0,top
R11,39.75,20.0,270.0,top
R2,31.5,32.25,0.0,top
R3,15.5,27.6,90.0,top
R4,22.4,21.25,180.0,top
R5,26.25,15.25,90.0,top
R6,32.984142,15.987267,180.0,top
R7,26.25,12.75,90.0,top
R8,13.0,34.1875,90.0,top
R9,37.0,27.5,0.0,top
SW1,22.4,19.0,180.0,top
SW2,8.04,37.0,180.0,top
SW3,8.0,32.0,180.0,top
U1,19.5,27.75,0.0,top
U2,32.5,22.25,0.0,top
U3,35.83,31.035,180.0,top
U4,22.0,14.0,270.0,top
Y1,32.5,13.0,180.0,top
